text,label
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
